BACODE,BANAME,BANGENAN,BACO2AN,BACO2RTA,BACO2CRT,BACO2EQA,BAC2ERTA,BAC2ECRT,BAFSC2ERT,ci_total_g_per_kwh,ci_combustion_g_per_kwh,ci_total_co2e_g_per_kwh,ci_combustion_co2e_g_per_kwh,ci_fossilonly_g_per_kwh,ba_ef_kg_per_mwh
LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,31021980.118,29381448.386,1894.234,1914.752,29595816.026,1908.055,1928.722,1927.8,859.21008939458,868.51689764224,865.47918954035,874.85358305114,874.435370886,859.21008939458
LDWP,Los Angeles Department of Water and Power,16925983.121,8569845.548,1012.626,1320.643,8611352.384,1017.531,1327.039,1376.23,459.31942726362,599.03358829391,461.54429783847,601.93476509243,624.2474273651001,459.31942726362
MISO,"Midcontinent Independent Transmission System Operator, Inc..",651974246.523,320113475.036,981.982,1409.887,321891922.517,987.438,1417.72,1447.201,445.41954267734,639.51398576219,447.89434264806,643.0669747964,656.43933145637,445.41954267734
GWA,"NaturEner Power Watch, LLC (GWA)",456345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWA,"NaturEner Wind Watch, LLC",563641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEVP,Nevada Power Company,36241801.475,12772811.116,704.866,1018.845,12803474.511,706.558,1021.291,1019.067,319.72183947242,462.14031821265,320.48931776246,463.24980514967007,462.24101571879004,319.72183947242
NBSO,New Brunswick System Operator,577183.001,48873.053,169.35,323.255,50010.461,173.292,330.778,0.0,76.8158678595,146.62600156435,78.60392898204,150.03837696386,0.0,76.8158678595
HGMA,"New Harquahala Generating Company, LLC - HGBA",2326465.0,968559.157,832.645,832.645,969584.037,833.526,833.526,833.526,377.68141891865,377.68141891865,378.08103379662,378.08103379662,378.08103379662,377.68141891865
NYIS,New York Independent System Operator,129706543.159,31078488.916,479.212,922.956,31172373.253,480.66,925.744,915.459,217.36690681244,418.64579944572,218.02370856420004,419.91041497328,415.24521744783,217.36690681244
NAN,No balancing authority,55.0,50.631,1841.127,1841.127,50.797,1847.164,1847.164,1847.164,835.12115940099,835.12115940099,837.85949653868,837.85949653868,837.85949653868,835.12115940099
NA - AK,No balancing authority - AK,4495345.16,1799184.298,800.465,1237.618,1813701.548,806.924,1247.604,1245.525,363.08481645205,561.37408177466,366.01456956988,565.9036551814801,564.96063664425,363.08481645205
NA - HI,No balancing authority - HI,2653723.736,1538602.585,1159.58,1533.746,1553405.123,1170.736,1548.502,1571.172,525.9766404046,695.6954831180201,531.03691688432,702.38869212974,712.67163115764,525.9766404046
NA - PR,No balancing authority - PR,17501153.122,13502782.48,1543.073,1579.361,13550533.995,1548.53,1584.946,1584.946,699.9261391530101,716.3860990755701,702.4013927161001,718.91941246202,718.91941246202,699.9261391530101
NWMT,NorthWestern Energy (NWMT),17737248.012,14039229.23,1583.022,2207.803,14142982.764,1594.721,2224.119,2224.119,718.04670074214,1001.44259526311,723.3532778787701,1008.8434083720301,1008.8434083720301,718.04670074214
