fuel_group,attributed_twh,share_pct,round3_target_pct,delta_pp_vs_round3_target
fossil,44.032806440342824,53.855460127991165,53.9,-0.04453987200883347
renewable,20.65445587855104,25.261965224490424,25.3,-0.038034775509576235
nuclear,17.073818796550817,20.882574647518414,20.9,-0.01742535248158461
