,fossil,nuclear,renewable,fossil_paper,nuclear_paper,renewable_paper,Δ_fossil,Δ_nuclear,Δ_renewable
TVA,47.60451294630069,41.69862360880303,10.696863444896291,43.9,43.7,12.4,3.7045129463006887,-2.0013763911969704,-1.7031365551037094
ERCO,62.57195509581454,8.60572022351857,28.822324680666906,62.2,10.3,27.6,0.3719550958145348,-1.6942797764814301,1.2223246806669046
BPAT,17.059934958714482,8.890198904019982,74.04986613726555,24.3,10.3,65.4,-7.2400650412855185,-1.4098010959800185,8.649866137265548
PACW,35.133197125967456,0.0,64.86680287403253,47.1,0.0,52.9,-11.966802874032545,0.0,11.966802874032531
SWPP,53.52232804517014,6.167973513877849,40.30969844095202,54.0,4.4,41.6,-0.4776719548298587,1.7679735138778483,-1.2903015590479825
MISO,68.50086617451139,13.398329333559381,18.100804491929217,70.9,11.7,17.3,-2.3991338254886188,1.698329333559382,0.8008044919292168
PJM,60.037130364853944,33.1205467281478,6.842322906998269,61.3,32.4,6.3,-1.2628696351460533,0.7205467281478022,0.5423229069982689
