STUSPS,n_facilities,electricity_twh,co2_mt,total_capacity_mw,scenario,u,ci_g_per_kwh
GA,9,2.048088,0.782903936529775,334.0,ai_weighted_high,0.7,382.26088748617
IA,26,8.652251999999999,3.8538821289691003,1411.0,ai_weighted_high,0.7,445.4195426773401
IL,8,2.8452479999999998,0.9241734254778764,464.0,ai_weighted_high,0.7,324.81296023330003
NC,8,2.4282719999999998,0.5337792872855318,396.0,ai_weighted_high,0.7,219.81857357229003
NE,8,4.26174,1.6847405893555116,695.0,ai_weighted_high,0.7,395.31754385662
NM,8,1.41036,0.2522116954482292,230.0,ai_weighted_high,0.7,178.82788468776
NV,5,1.9929,0.6371736538845858,325.0,ai_weighted_high,0.7,319.72183947242
NY,1,0.12263999999999999,0.02665787745147764,20.0,ai_weighted_high,0.7,217.36690681244
OH,38,10.663548,3.463658592469886,1739.0,ai_weighted_high,0.7,324.81296023330003
OK,8,3.49524,1.3817296919894124,570.0,ai_weighted_high,0.7,395.31754385662
OR,56,13.432146,1.6028271665745368,2190.5,ai_weighted_high,0.7,119.32770583155788
PA,1,0.294336,0.0956041474632286,48.0,ai_weighted_high,0.7,324.81296023330003
SC,10,1.90092,0.6425079885518669,310.0,ai_weighted_high,0.7,337.99843683683
TN,5,1.2264,0.35658913566837425,200.0,ai_weighted_high,0.7,290.76087383266
TX,22,5.561724,1.8517101569739873,907.0,ai_weighted_high,0.7,332.93816035711006
UT,5,1.533,0.9804778530247126,250.0,ai_weighted_high,0.7,639.5811174329502
VA,142,25.824328500236838,8.388076586199105,4211.403865009269,ai_weighted_high,0.7,324.81296023330003
WA,23,3.0476039999999998,0.03152372500547042,497.0,ai_weighted_high,0.7,10.343773339800848
WY,2,1.483944,1.2583959660186685,242.0,ai_weighted_high,0.7,848.0077186326901
