scenario,u,electricity_twh,co2_mt_total_output,ci_g_per_kwh_total_output,co2_mt_combustion_diagnostic,ci_g_per_kwh_combustion_diagnostic,target_electricity_twh,target_co2_mt_total_output,delta_twh_vs_target,delta_co2_vs_target
low_load,0.48,67.66434299209216,21.244476708304095,313.968565552863,36.72298050321111,542.722782477957,67.7,21.3,-0.03565700790784376,-0.05552329169590564
central_reference,0.58,81.76108111544468,25.670409355867445,313.968565552863,44.37360144138009,542.722782477957,81.8,25.7,-0.038918884555315,-0.02959064413255419
continuity_sensitivity,0.663,93.46137375782729,29.34393345334503,313.968565552863,50.72361682006034,542.722782477957,93.5,29.4,-0.038626242172711045,-0.05606654665496791
ai_weighted_high,0.7,98.6771668634677,30.981528532943464,313.968565552863,53.554346567182854,542.722782477957,98.6,31.0,0.07716686346770985,-0.018471467056535573
