region_B_1,n_facilities,electricity_twh,co2_mt,total_capacity_mw,scenario,u,ci_g_per_kwh
DOPD,2,0.73584,0.0,120.0,ai_weighted_high,0.7,0.0
DUK,8,2.4282719999999998,0.5337792872855318,396.0,ai_weighted_high,0.7,219.81857357229003
ERCO,22,5.561724,1.8517101569739873,907.0,ai_weighted_high,0.7,332.93816035711006
GCPD,19,2.195256,0.0,358.0,ai_weighted_high,0.7,0.0
MISO,26,8.652251999999999,3.8538821289691003,1411.0,ai_weighted_high,0.7,445.4195426773401
NEVP,5,1.9929,0.6371736538845858,325.0,ai_weighted_high,0.7,319.72183947242
NYIS,1,0.12263999999999999,0.02665787745147764,20.0,ai_weighted_high,0.7,217.36690681244
PACE,5,1.533,0.9804778530247126,250.0,ai_weighted_high,0.7,639.5811174329502
PACW,27,6.864774,0.9553477724789816,1119.5,ai_weighted_high,0.7,139.1666750397
PGE,1,0.055188,0.019904599860814665,9.0,ai_weighted_high,0.7,360.66898348943005
PJM,189,39.627460500236836,12.871512751610096,6462.403865009269,ai_weighted_high,0.7,324.81296023330003
PNM,8,1.41036,0.2522116954482292,230.0,ai_weighted_high,0.7,178.82788468776
PSCO,1,0.09198,0.03348791134062135,15.0,ai_weighted_high,0.7,364.07818374234995
PSEI,1,0.104244,0.0303418515700001,17.0,ai_weighted_high,0.7,291.0656879053
SCEG,10,1.90092,0.6425079885518669,310.0,ai_weighted_high,0.7,337.99843683683
SOCO,9,2.048088,0.782903936529775,334.0,ai_weighted_high,0.7,382.26088748617
SRP,6,2.4528,0.6137099410081296,400.0,ai_weighted_high,0.7,250.20790158518002
SWPP,16,7.7569799999999995,3.066470281344924,1265.0,ai_weighted_high,0.7,395.31754385662
TVA,7,3.066,0.8914728391709357,500.0,ai_weighted_high,0.7,290.76087383266
WACM,2,1.483944,1.2583959660186685,242.0,ai_weighted_high,0.7,848.0077186326901
