Plant latitude,Plant longitude,Plant annual net generation (MWh),Plant primary fuel category
42.0507,-90.3942,10.0,GAS
44.0399,-95.4429,10.0,OIL
37.1517,-98.0311,10.001,GAS
41.981111,-87.719167,10.78,GAS
32.9192,-96.9894,10.998,OIL
40.928827,-73.898015,11.0,OIL
45.370922,-86.930822,11.0,OIL
43.023733,-91.174927,11.0,OIL
39.3582,-99.8417,11.762,OIL
39.761513,-86.501588,12.0,OIL
34.679444,-82.840278,12.0,GAS
43.828415,-94.436908,12.0,OIL
40.902825,-73.868738,12.0,OIL
36.7589,-76.4961,12.0,BIOMASS
37.56681,-95.237499,12.001,OIL
40.5553,-76.3886,12.006,OIL
41.289185,-99.386336,13.0,GAS
40.0892,-98.9508,13.0,GAS
43.5722,-90.6391,13.0,OIL
40.89952,-73.27093,13.999,OIL
45.220717,-96.616781,14.0,OIL
43.429444,-96.169166,14.0,OIL
35.2747,-81.1383,14.0,OIL
41.109042,-73.862594,14.0,OIL
43.0489,-92.9468,14.0,OIL
44.8244,-93.1139,14.0,OIL
41.691389,-72.768611,14.699,GAS
43.7395,-90.2675,14.999,OIL
42.658653,-84.095181,15.0,OIL
44.239539,-94.976262,15.0,OIL
41.1055,-72.3758,15.0,OIL
41.83442,-87.628465,15.68,GAS
42.490556,-90.745,15.68,OIL
37.178979,-104.487492,15.998,GAS
40.4535,-88.9605,15.999,OIL
44.2718,-92.9848,15.999,OIL
46.8175,-95.843333,16.0,OIL
42.260162,-94.069243,16.0,OIL
39.694755,-92.047014,16.0,OIL
40.659328,-73.933752,16.999,OIL
38.7745,-95.1867,16.999,OIL
42.4942,-91.2725,17.0,OIL
40.883013,-97.601363,17.0,OIL
47.350064,-96.831911,17.0,OIL
40.861278,-73.887419,17.0,OIL
41.9031,-87.6831,17.0,OIL
41.211798,-96.61155,18.0,GAS
34.973274,-80.540038,18.0,OIL
42.579489,-70.910778,18.001,GAS
41.9167,-91.6542,18.62,OIL
38.495623,-94.95255,18.999,OIL
35.7811,-81.3928,19.0,OIL
40.710315,-74.004965,19.0,OIL
37.193787,-99.763073,19.001,OIL
38.890552,-101.751525,19.599,GAS
43.674186,-95.1706,19.6,OIL
43.742874,-90.780325,19.6,OIL
42.6944,-74.9242,19.959,OIL
42.599377,-99.143707,19.999,OIL
40.275214,-75.289218,20.0,OIL
37.7814,-90.4156,21.0,OIL
44.980833,-93.249722,21.0,GAS
45.585,-95.9042,21.0,OIL
43.63711,-95.932794,21.0,OIL
38.6714,-88.4894,21.0,OIL
38.501309,-94.956918,21.999,OIL
40.598688,-73.753461,22.0,OIL
43.8797,-90.1645,22.999,OIL
41.694673,-94.367571,23.0,OIL
40.88,-94.5589,23.0,OIL
41.111498,-74.135402,23.0,OIL
44.953014,-93.105692,23.0,OIL
38.7551,-95.8368,23.0,GAS
40.85132,-73.8483,23.002,OIL
40.6679,-73.9787,24.0,OIL
40.690544,-73.97793,24.0,OIL
44.070814,-92.522265,24.0,OIL
43.732508,-83.453306,24.0,OIL
47.396944,-97.060555,24.0,OIL
41.163069,-82.227208,24.0,OIL
30.4736,-87.2361,24.997,GAS
38.501719,-94.960069,24.999,OIL
37.4908,-97.2216,24.999,OIL
43.86811,-95.114444,24.999,OIL
42.343542,-91.2471,25.0,OIL
42.7114,-91.5469,25.0,OIL
40.9315,-94.9855,25.0,OIL
40.9871,-94.7352,25.0,OIL
42.280827,-91.532705,25.0,OIL
41.254652,-97.119202,25.001,GAS
41.780313,-99.136071,26.0,OIL
41.6014,-93.5765,26.0,OIL
41.668419,-96.669132,26.0,OIL
45.221111,-96.637222,26.001,OIL
38.6693,-88.4635,26.001,OIL
41.97007,-91.66623,26.459,OIL
41.59976,-90.91195,27.44,OIL
40.2581,-99.6108,28.0,GAS
39.441979,-98.690296,28.419,OIL
39.9867,-84.5513,29.0,OIL
41.4587,-83.369009,29.0,OIL
37.566881,-101.751065,29.0,OIL
38.513,-98.7747,29.0,GAS
45.105,-95.0844,29.001,OIL
45.1272,-95.025,29.001,OIL
42.0289,-91.5975,29.4,OIL
41.988069,-96.915994,30.0,OIL
42.25,-90.4167,30.0,OIL
41.496111,-94.327222,30.0,OIL
40.6561,-73.5922,30.0,OIL
45.889167,-95.379722,30.999,OIL
37.7608,-90.4526,31.0,OIL
41.286739,-73.888802,31.0,OIL
40.639538,-73.998833,31.0,OIL
38.354514,-98.583436,31.0,GAS
42.0372,-94.0462,31.0,OIL
44.368056,-100.380833,32.34,OIL
43.4301,-95.3153,33.0,OIL
43.292628,-94.217075,33.999,OIL
41.444224,-94.766474,34.0,OIL
34.65724,-83.03832,34.0,OIL
35.3636,-80.1939,34.0,OIL
40.4411,-83.1883,34.0,OIL
37.9676,-122.382,35.001,BIOMASS
36.6308,-79.3894,35.28,OIL
43.396851,-95.74966,35.28,OIL
42.5486,-89.0083,35.28,GAS
43.0386,-89.3586,36.0,GAS
34.5567,-81.4919,36.0,OIL
42.53,-90.6847,36.26,OIL
41.790556,-87.582778,36.26,GAS
29.820648,-94.913987,36.264,GAS
41.08921,-73.80443,36.997,OIL
40.286178,-100.176836,37.0,OIL
44.0587,-92.5119,37.0,OIL
40.2167,-74.7667,38.0,GAS
41.7265,-81.254,38.0,COAL
35.5772,-81.2081,38.0,OIL
39.03719,-98.152993,38.001,OIL
32.811848,-97.424739,39.0,GAS
45.183368,-113.885307,39.0,OIL
39.8217,-100.5289,39.2,OIL
43.405,-95.7261,39.2,OIL
39.310555,-87.992592,39.999,OIL
38.830833,-94.890278,40.0,GAS
42.4622,-92.6264,40.0,OIL
36.6533,-79.2906,40.18,OIL
46.575965,-87.403579,41.0,OIL
40.928827,-73.898015,42.0,OIL
41.30399,-94.46049,42.0,OIL
41.1117,-73.3928,42.0,OIL
40.651614,-73.62993,43.0,OIL
40.659328,-73.933752,43.002,OIL
40.631453,-100.515161,44.0,GAS
38.2049,-84.2383,44.099,OIL
33.7919,-84.2831,44.1,OIL
40.0975,-75.2428,45.0,GAS
38.2143,-98.2071,45.999,OIL
41.587748,-91.019456,46.058,OIL
41.5256,-72.0833,47.0,OIL
41.4031,-99.6392,47.0,GAS
38.6658,-88.4625,48.0,OIL
42.114742,-96.705431,48.0,OIL
31.364122,-109.5538,48.0,OIL
39.7306,-96.9795,48.0,OIL
30.3225,-95.2681,49.0,BIOMASS
35.9678,-79.9708,49.0,OIL
38.893333,-98.856944,49.002,GAS
42.29821,-91.011974,50.0,OIL
35.3778,-81.38,50.0,OIL
40.097954,-98.519032,50.001,OIL
40.75043,-73.82573,52.0,OIL
42.056,-92.8971,52.918,OIL
42.7317,-92.4711,52.998,OIL
34.965278,-81.1872,53.0,OIL
32.578011,-110.852608,53.0,GAS
42.2917,-83.2119,53.001,OIL
46.454097,-92.760557,53.9,GAS
40.840854,-73.941391,54.002,OIL
35.28914,-81.205219,54.999,OIL
42.868611,-84.895555,55.0,OIL
38.2165,-89.9992,55.0,OIL
39.756982,-81.115503,55.999,OIL
39.3975,-76.2991,56.0,GAS
43.654444,-96.201944,58.0,OIL
41.244288,-82.708949,58.0,OIL
40.24611,-88.638761,58.0,GAS
46.64974,-97.00953,58.0,OIL
40.3883,-95.8464,59.0,GAS
40.732666,-73.981597,59.001,OIL
41.3372,-94.0126,59.999,OIL
40.775397,-73.830918,61.002,OIL
41.475957,-75.600602,62.0,OIL
34.8894,-81.0725,64.0,OIL
37.193584,-77.467185,65.994,OIL
41.556714,-81.588233,66.0,OIL
37.581339,-97.424133,66.0,GAS
39.694784,-92.04674,66.0,OIL
34.44128,-82.3652,67.0,OIL
41.5283,-83.0353,67.0,BIOMASS
34.985814,-80.506037,67.0,GAS
45.7291,-85.5244,67.001,OIL
38.264408,-94.344385,68.0,OIL
44.298116,-94.725191,69.0,OIL
40.4597,-84.0401,70.0,OIL
43.6375,-94.101667,70.999,OIL
39.068747,-88.755547,71.0,OIL
41.315962,-93.060973,73.0,OIL
41.3164,-94.455,73.0,OIL
46.7289,-117.1514,73.0,OIL
41.844936,-96.71345,74.0,GAS
35.9861,-79.9497,74.0,OIL
43.4172,-93.5322,74.0,OIL
36.18519,-119.681495,74.0,BIOMASS
43.9742,-92.0597,75.0,OIL
34.7225,-81.646944,76.0,OIL
33.100353,-96.800708,76.0,OIL
41.573415,-93.557743,76.44,BIOMASS
44.446585,-95.792118,76.44,OIL
37.2894,-80.07,77.0,OIL
35.97,-79.96,78.0,OIL
37.285176,-100.332438,78.0,GAS
40.548586,-90.513814,78.0,OIL
38.425556,-89.914444,78.001,OIL
45.041378,-93.790522,78.401,OIL
42.3159,-92.1928,78.999,OIL
45.675,-94.815277,79.0,OIL
40.908889,-82.653333,79.0,OIL
42.5734,-90.6926,79.998,OIL
41.566688,-91.736663,81.999,OIL
40.6253,-96.9601,82.0,GAS
42.01667,-93.16333,82.002,GAS
37.33206,-79.51109,83.0,OIL
41.604164,-98.926144,83.0,OIL
38.0967,-88.1631,83.0,OIL
39.1194,-97.7086,83.001,GAS
42.003322,-80.320237,84.0,OIL
41.055636,-73.55198,84.0,OIL
40.0786,-93.635,84.0,OIL
37.9955,-76.038881,84.0,OIL
42.934444,-85.3475,85.0,GAS
38.531667,-99.308333,85.0,OIL
33.582793,-86.779866,86.0,GAS
44.461111,-93.180833,89.0,OIL
40.77069,-95.37683,91.0,OIL
41.688333,-83.484722,91.998,OIL
27.769271,-98.043187,93.999,GAS
43.0906,-91.5542,94.0,OIL
40.8969,-82.6625,94.0,OIL
33.759167,-84.395,94.999,OIL
40.6467,-74.0211,95.0,OIL
42.506156,-92.34558,96.003,OIL
34.74625,-78.807292,96.007,OIL
37.2875,-80.0771,99.0,OIL
35.9403,-80.1106,102.0,OIL
43.988158,-94.61564,102.0,OIL
40.188351,-76.171216,102.0,OIL
43.2397,-94.7498,103.0,OIL
29.936325,-95.25261,105.0,GAS
42.5131,-70.8583,108.0,OIL
38.193441,-95.749953,108.78,GAS
39.5879,-86.1858,109.0,OIL
36.717222,-79.845278,109.0,GAS
44.7709,-94.1582,110.0,OIL
29.803665,-95.72045,110.001,GAS
38.27433,-95.68403,112.0,OIL
38.468931,-96.25358,112.0,OIL
40.739556,-73.976083,116.001,OIL
44.3331,-69.2019,117.0,OIL
37.2794,-80.0447,118.0,OIL
41.268611,-72.01,118.0,OIL
41.748669,-71.106469,121.0,BIOMASS
38.74054,-77.508061,122.0,OIL
41.7717,-91.1321,122.002,OIL
35.8575,-97.9277,122.999,GAS
41.07875,-73.82227,123.0,OIL
39.1578,-76.78042,124.0,GAS
30.896466,-102.907161,125.0,GAS
41.586026,-92.5228,125.001,GAS
40.77698,-73.77045,126.0,OIL
42.297949,-71.436065,127.0,SOLAR
39.392138,-87.68513,127.999,OIL
41.5092,-83.3606,128.001,OIL
40.704774,-73.94186,130.0,OIL
32.54098,-85.038879,132.0,GAS
40.126389,-77.164444,133.28,OIL
45.314444,-95.602777,136.0,OIL
40.067218,-93.604363,136.003,OIL
44.8289,-93.1167,137.0,OIL
37.3847,-89.6606,140.998,OIL
34.003489,-98.553539,141.0,OIL
38.421389,-79.591389,142.0,OIL
41.2382,-103.6667,142.001,OIL
36.5531,-89.9682,143.999,OIL
43.866,-93.0504,144.0,OIL
45.5336,-92.0224,146.0,OIL
35.109444,-75.979722,146.0,OIL
39.806868,-89.641653,147.0,OIL
36.024272,-90.509229,148.0,GAS
40.379054,-75.30352,149.0,OIL
45.36282,-84.29497,153.0,OIL
41.2925,-72.7942,153.0,OIL
41.935,-91.6361,153.841,OIL
41.032778,-87.0725,155.0,BIOMASS
35.407208,-80.151849,157.0,OIL
34.1845,-90.562662,159.0,GAS
44.364871,-97.381063,159.0,OIL
41.4079,-84.1095,159.999,OIL
40.53,-82.4,160.0,OIL
33.440183,-80.8417,161.0,GAS
32.764483,-97.169261,161.001,GAS
40.055,-95.6083,161.997,GAS
40.7303,-82.7939,162.999,OIL
42.8129,-86.0335,163.0,GAS
33.179721,-96.883994,163.0,OIL
38.7412,-89.6849,163.999,OIL
41.409,-95.0,164.0,GAS
45.877088,-93.295137,169.0,OIL
40.312222,-88.159444,169.0,OIL
37.8277,-75.9915,170.0,OIL
35.182778,-103.731111,170.0,OIL
42.6736,-95.3026,173.0,OIL
41.780735,-89.689416,173.0,OIL
44.8256,-93.1139,175.6,OIL
41.449992,-84.767208,176.0,OIL
33.857046,-98.499006,176.001,GAS
44.5331,-95.1122,180.999,OIL
44.2524,-91.5034,180.999,GAS
44.8283,-93.1167,182.0,OIL
41.776109,-73.120886,182.0,OIL
42.961151,-94.445574,183.001,OIL
29.557643,-95.382896,185.0,GAS
32.592923,-96.879836,185.001,GAS
43.4566,-83.1889,191.0,OIL
35.3119,-81.1414,192.0,OIL
42.02771,-91.7111,193.0,GAS
42.7317,-92.4711,194.999,OIL
29.372305,-95.000453,196.0,GAS
32.842209,-96.598028,197.001,GAS
39.137935,-84.504948,198.0,OIL
